system_time_start,LST_L5,LST_L7,LST_L8,LST_L9,year,month,day
1991-09-24,,,,,1991,9,24
1991-10-03,9.961000000000013,,,,1991,10,3
1991-10-10,10.980000000000018,,,,1991,10,10
1991-10-26,-4.001999999999953,,,,1991,10,26
1991-11-11,,,,,1991,11,11
1992-01-23,,,,,1992,1,23
1992-02-08,,,,,1992,2,8
1992-02-15,,,,,1992,2,15
1992-03-02,-0.7999999999999545,,,,1992,3,2
1992-03-11,,,,,1992,3,11
1992-03-18,,,,,1992,3,18
1992-04-03,,,,,1992,4,3
1992-04-12,2.1340000000000146,,,,1992,4,12
1992-04-28,,,,,1992,4,28
1992-05-05,4.378000000000043,,,,1992,5,5
1992-05-14,19.015000000000043,,,,1992,5,14
1992-05-21,,,,,1992,5,21
1992-05-30,,,,,1992,5,30
1992-06-15,,,,,1992,6,15
1992-06-22,,,,,1992,6,22
1992-07-01,24.835000000000036,,,,1992,7,1
1992-07-17,20.010000000000048,,,,1992,7,17
1992-07-24,21.146000000000015,,,,1992,7,24
1992-08-02,21.88100000000003,,,,1992,8,2
1992-08-09,29.56800000000004,,,,1992,8,9
1992-08-18,19.43100000000004,,,,1992,8,18
1992-08-25,17.670000000000016,,,,1992,8,25
1992-09-03,,,,,1992,9,3
1992-09-10,14.771000000000015,,,,1992,9,10
1992-09-19,1.559000000000026,,,,1992,9,19
1992-09-26,16.40500000000003,,,,1992,9,26
1992-10-05,10.632000000000005,,,,1992,10,5
1992-10-12,,,,,1992,10,12
1992-10-28,,,,,1992,10,28
1992-11-06,,,,,1992,11,6
1992-12-08,-17.169999999999987,,,,1992,12,8
1993-03-05,-14.746999999999957,,,,1993,3,5
1993-03-21,,,,,1993,3,21
1993-04-06,,,,,1993,4,6
1993-04-15,,,,,1993,4,15
1993-04-22,,,,,1993,4,22
1993-05-01,20.545000000000016,,,,1993,5,1
1993-05-08,,,,,1993,5,8
1993-05-17,22.680000000000007,,,,1993,5,17
1993-05-24,,,,,1993,5,24
1993-06-02,,,,,1993,6,2
1993-06-09,22.975000000000023,,,,1993,6,9
1993-06-18,,,,,1993,6,18
1993-06-25,,,,,1993,6,25
1993-07-27,,,,,1993,7,27
1993-08-12,15.302999999999997,,,,1993,8,12
1993-09-29,,,,,1993,9,29
1993-10-31,5.2660000000000196,,,,1993,10,31
1993-11-25,,,,,1993,11,25
1994-01-12,,,,,1994,1,12
1994-02-13,,,,,1994,2,13
1994-02-20,-13.384999999999991,,,,1994,2,20
1994-03-17,,,,,1994,3,17
1994-03-24,,,,,1994,3,24
1994-04-09,,,,,1994,4,9
1994-04-25,,,,,1994,4,25
1994-05-04,,,,,1994,5,4
1994-05-11,,,,,1994,5,11
1994-05-27,,,,,1994,5,27
1994-06-12,12.454000000000008,,,,1994,6,12
1994-06-21,,,,,1994,6,21
1994-06-28,,,,,1994,6,28
1994-07-14,,,,,1994,7,14
1994-07-23,24.048000000000002,,,,1994,7,23
1994-07-30,27.996000000000038,,,,1994,7,30
1994-08-08,16.468000000000018,,,,1994,8,8
1994-08-15,12.956000000000017,,,,1994,8,15
1994-08-24,,,,,1994,8,24
1994-08-31,17.313000000000045,,,,1994,8,31
1994-09-16,,,,,1994,9,16
1994-09-25,,,,,1994,9,25
1994-10-02,,,,,1994,10,2
1994-10-11,6.143000000000029,,,,1994,10,11
1994-10-18,0.8220000000000027,,,,1994,10,18
1994-10-27,,,,,1994,10,27
1994-11-03,3.3010000000000446,,,,1994,11,3
1995-01-31,-11.269999999999982,,,,1995,1,31
1995-02-07,,,,,1995,2,7
1995-03-11,-2.9470000000000027,,,,1995,3,11
1995-04-05,,,,,1995,4,5
1995-04-21,,,,,1995,4,21
1995-05-23,14.947000000000003,,,,1995,5,23
1995-05-30,,,,,1995,5,30
1995-06-08,,,,,1995,6,8
1995-06-15,,,,,1995,6,15
1995-07-01,24.229000000000042,,,,1995,7,1
1995-07-10,27.850000000000023,,,,1995,7,10
1995-08-02,19.463000000000022,,,,1995,8,2
1995-08-11,20.871000000000038,,,,1995,8,11
1995-08-18,17.24000000000001,,,,1995,8,18
1995-09-03,,,,,1995,9,3
1995-09-12,,,,,1995,9,12
1995-10-21,,,,,1995,10,21
1995-11-22,-13.08099999999996,,,,1995,11,22
1996-03-13,,,,,1996,3,13
1996-03-29,,,,,1996,3,29
1996-06-01,25.361000000000047,,,,1996,6,1
1996-06-17,,,,,1996,6,17
1996-07-03,,,,,1996,7,3
1996-07-19,,,,,1996,7,19
1996-08-04,,,,,1996,8,4
1996-08-20,19.887,,,,1996,8,20
1996-09-05,,,,,1996,9,5
1996-10-23,,,,,1996,10,23
1996-11-08,,,,,1996,11,8
1997-04-01,,,,,1997,4,1
1997-05-03,14.085000000000036,,,,1997,5,3
1997-05-19,18.622000000000014,,,,1997,5,19
1997-06-04,,,,,1997,6,4
1997-07-06,,,,,1997,7,6
1997-08-07,,,,,1997,8,7
1997-08-23,,,,,1997,8,23
1997-09-08,12.751000000000033,,,,1997,9,8
1997-11-27,,,,,1997,11,27
1998-01-14,,,,,1998,1,14
1998-01-30,,,,,1998,1,30
1998-02-15,,,,,1998,2,15
1998-03-03,,,,,1998,3,3
1998-03-19,,,,,1998,3,19
1998-04-04,,,,,1998,4,4
1998-04-20,,,,,1998,4,20
1998-06-07,,,,,1998,6,7
1998-08-10,25.089,,,,1998,8,10
1998-08-26,13.034000000000049,,,,1998,8,26
1998-09-27,,,,,1998,9,27
1998-10-13,,,,,1998,10,13
1998-12-16,,,,,1998,12,16
1999-01-17,-5.505999999999972,,,,1999,1,17
1999-02-27,-2.572999999999979,,,,1999,2,27
1999-03-06,,,,,1999,3,6
1999-03-22,,,,,1999,3,22
1999-04-23,,,,,1999,4,23
1999-05-09,,,,,1999,5,9
1999-05-18,,,,,1999,5,18
1999-06-26,21.80600000000004,,,,1999,6,26
1999-07-05,28.93100000000004,,,,1999,7,5
1999-07-12,,,,,1999,7,12
1999-07-20,,,,,1999,7,20
1999-07-21,,,,,1999,7,21
1999-07-28,,,,,1999,7,28
1999-08-05,,,,,1999,8,5
1999-08-06,,,,,1999,8,6
1999-08-13,,,,,1999,8,13
1999-08-21,,,,,1999,8,21
1999-08-22,12.103000000000009,,,,1999,8,22
1999-08-29,,,,,1999,8,29
1999-08-30,,,,,1999,8,30
1999-09-06,,,,,1999,9,6
1999-09-07,,,,,1999,9,7
1999-09-14,22.061000000000035,,,,1999,9,14
1999-09-22,,16.765000000000043,,,1999,9,22
1999-09-30,,,,,1999,9,30
1999-10-01,,,,,1999,10,1
1999-10-08,,,,,1999,10,8
1999-10-16,,,,,1999,10,16
1999-10-17,,,,,1999,10,17
1999-10-24,,5.444000000000017,,,1999,10,24
1999-11-01,9.266999999999996,,,,1999,11,1
1999-11-02,,,,,1999,11,2
1999-11-18,,,,,1999,11,18
1999-12-03,,,,,1999,12,3
1999-12-11,,,,,1999,12,11
1999-12-20,,,,,1999,12,20
2000-01-12,,-12.387,,,2000,1,12
2000-01-13,-11.16799999999995,,,,2000,1,13
2000-01-20,-17.504999999999967,,,,2000,1,20
2000-01-28,,,,,2000,1,28
2000-02-13,,,,,2000,2,13
2000-02-29,,,,,2000,2,29
2000-03-16,,,,,2000,3,16
2000-03-25,,,,,2000,3,25
2000-04-01,,,,,2000,4,1
2000-04-10,,,,,2000,4,10
2000-04-17,,,,,2000,4,17
2000-04-26,,,,,2000,4,26
2000-05-03,,12.055000000000007,,,2000,5,3
2000-05-04,,,,,2000,5,4
2000-05-12,,,,,2000,5,12
2000-05-19,,,,,2000,5,19
2000-05-28,,,,,2000,5,28
2000-06-04,,28.016999999999996,,,2000,6,4
2000-06-12,,,,,2000,6,12
2000-06-13,,,,,2000,6,13
2000-06-20,,27.150000000000034,,,2000,6,20
2000-06-29,,,,,2000,6,29
2000-07-06,,,,,2000,7,6
2000-07-22,,,,,2000,7,22
2000-07-31,,16.75200000000001,,,2000,7,31
2000-08-07,,,,,2000,8,7
2000-08-15,26.44300000000004,,,,2000,8,15
2000-08-16,,,,,2000,8,16
2000-08-23,,,,,2000,8,23
2000-08-31,,,,,2000,8,31
2000-09-01,,,,,2000,9,1
2000-09-09,18.600000000000023,,,,2000,9,9
2000-09-16,,,,,2000,9,16
2000-09-17,,,,,2000,9,17
2000-09-24,,14.629000000000019,,,2000,9,24
2000-11-03,9.793000000000006,,,,2000,11,3
2000-11-11,,,,,2000,11,11
2000-11-19,-0.6490000000000009,,,,2000,11,19
2000-11-27,,,,,2000,11,27
2000-12-05,2.1230000000000473,,,,2000,12,5
2000-12-13,,,,,2000,12,13
2000-12-21,-11.211999999999989,,,,2000,12,21
2000-12-29,,,,,2000,12,29
2001-01-14,,-10.762,,,2001,1,14
2001-01-15,-10.002999999999986,,,,2001,1,15
2001-01-30,,,,,2001,1,30
2001-01-31,,,,,2001,1,31
2001-02-08,,,,,2001,2,8
2001-02-15,,1.7960000000000491,,,2001,2,15
2001-02-24,,,,,2001,2,24
2001-03-03,,,,,2001,3,3
2001-03-11,,,,,2001,3,11
2001-03-12,,,,,2001,3,12
2001-03-19,,,,,2001,3,19
2001-03-28,,,,,2001,3,28
2001-04-04,,,,,2001,4,4
2001-04-13,,,,,2001,4,13
2001-04-29,,,,,2001,4,29
2001-05-15,,,,,2001,5,15
2001-05-22,,,,,2001,5,22
2001-05-23,,,,,2001,5,23
2001-05-30,21.903999999999996,,,,2001,5,30
2001-05-31,,,,,2001,5,31
2001-06-07,,,,,2001,6,7
2001-06-08,,,,,2001,6,8
2001-06-23,,,,,2001,6,23
2001-07-01,,,,,2001,7,1
2001-07-02,,,,,2001,7,2
2001-07-09,,16.78400000000005,,,2001,7,9
2001-07-18,,,,,2001,7,18
2001-07-25,,11.661000000000001,,,2001,7,25
2001-07-26,23.165999999999997,,,,2001,7,26
2001-08-02,24.239000000000033,,,,2001,8,2
2001-08-03,,25.05000000000001,,,2001,8,3
2001-08-10,,,,,2001,8,10
2001-08-18,16.549000000000035,,,,2001,8,18
2001-08-26,,24.400000000000034,,,2001,8,26
2001-08-27,12.249000000000024,,,,2001,8,27
2001-09-03,14.144000000000005,,,,2001,9,3
2001-09-11,,,,,2001,9,11
2001-09-19,10.984000000000037,,,,2001,9,19
2001-09-20,,,,,2001,9,20
2001-10-06,,,,,2001,10,6
2001-10-13,,16.859000000000037,,,2001,10,13
2001-10-29,,,,,2001,10,29
2001-11-14,,,,,2001,11,14
2001-11-15,-6.128999999999962,,,,2001,11,15
2001-11-23,,,,,2001,11,23
2001-12-16,,,,,2001,12,16
2002-01-17,,,,,2002,1,17
2002-02-02,,1.7720000000000482,,,2002,2,2
2002-02-03,2.27800000000002,,,,2002,2,3
2002-02-10,,,,,2002,2,10
2002-02-11,,,,,2002,2,11
2002-02-18,,,,,2002,2,18
2002-02-19,,,,,2002,2,19
2002-02-27,,,,,2002,2,27
2002-03-06,,4.165999999999997,,,2002,3,6
2002-03-15,,4.0120000000000005,,,2002,3,15
2002-03-23,,,,,2002,3,23
2002-03-31,,,,,2002,3,31
2002-04-07,,,,,2002,4,7
2002-04-16,,1.7970000000000255,,,2002,4,16
2002-04-23,,,,,2002,4,23
2002-05-02,,,,,2002,5,2
2002-05-09,,22.20300000000003,,,2002,5,9
2002-05-17,26.74000000000001,,,,2002,5,17
2002-05-18,,29.114000000000033,,,2002,5,18
2002-05-25,,19.38900000000001,,,2002,5,25
2002-06-03,,24.341000000000008,,,2002,6,3
2002-06-10,,,,,2002,6,10
2002-06-11,16.072000000000003,,,,2002,6,11
2002-06-18,27.06400000000002,,,,2002,6,18
2002-06-19,,35.815,,,2002,6,19
2002-06-26,,18.571000000000026,,,2002,6,26
2002-06-27,24.388000000000034,,,,2002,6,27
2002-07-05,,19.25200000000001,,,2002,7,5
2002-07-12,,20.319000000000017,,,2002,7,12
2002-07-21,,23.90500000000003,,,2002,7,21
2002-07-28,,23.271000000000015,,,2002,7,28
2002-08-22,,,,,2002,8,22
2002-08-29,,,,,2002,8,29
2002-09-07,,18.173000000000002,,,2002,9,7
2002-09-14,,,,,2002,9,14
2002-09-30,,10.790999999999997,,,2002,9,30
2002-10-16,,,,,2002,10,16
2002-11-01,,,,,2002,11,1
2002-11-17,,,,,2002,11,17
2002-11-26,,,,,2002,11,26
2002-12-19,,,,,2002,12,19
2003-01-20,,,,,2003,1,20
2003-02-05,,,,,2003,2,5
2003-02-14,,,,,2003,2,14
2003-02-21,,-1.5269999999999868,,,2003,2,21
2003-03-25,,4.265000000000043,,,2003,3,25
2003-04-10,,,,,2003,4,10
2003-04-19,,,,,2003,4,19
2003-04-26,,12.581000000000017,,,2003,4,26
2003-05-05,,28.914000000000044,,,2003,5,5
2003-05-12,,,,,2003,5,12
2003-05-21,,,,,2003,5,21
2003-05-28,,,,,2003,5,28
2003-06-30,,,,,2003,6,30
2003-07-07,,,,,2003,7,7
2003-07-15,,24.914000000000044,,,2003,7,15
2003-07-23,,,,,2003,7,23
2003-08-01,,,,,2003,8,1
2003-08-24,,,,,2003,8,24
2003-09-09,,,,,2003,9,9
2003-09-17,,18.521000000000015,,,2003,9,17
2003-09-18,23.548000000000002,,,,2003,9,18
2003-09-25,11.624000000000024,,,,2003,9,25
2003-09-26,,13.439999999999998,,,2003,9,26
2003-10-04,,,,,2003,10,4
2003-10-28,,-1.2699999999999818,,,2003,10,28
2003-11-13,,,,,2003,11,13
2003-12-22,,,,,2003,12,22
2004-01-08,-9.09699999999998,,,,2004,1,8
2004-01-23,,-19.81899999999999,,,2004,1,23
2004-01-24,-17.287999999999982,,,,2004,1,24
2004-01-31,-8.842999999999961,,,,2004,1,31
2004-02-25,,,,,2004,2,25
2004-03-12,-5.911000000000001,,,,2004,3,12
2004-03-19,,,,,2004,3,19
2004-03-27,,,,,2004,3,27
2004-04-04,,,,,2004,4,4
2004-04-20,,,,,2004,4,20
2004-04-28,,,,,2004,4,28
2004-05-22,,,,,2004,5,22
2004-05-30,,23.261000000000024,,,2004,5,30
2004-06-07,,,,,2004,6,7
2004-06-08,,24.826000000000022,,,2004,6,8
2004-06-15,,,,,2004,6,15
2004-06-23,16.03400000000005,,,,2004,6,23
2004-06-24,,18.843000000000018,,,2004,6,24
2004-07-09,,,,,2004,7,9
2004-07-25,20.319000000000017,,,,2004,7,25
2004-08-02,,,,,2004,8,2
2004-08-10,23.461000000000013,,,,2004,8,10
2004-08-26,,,,,2004,8,26
2004-09-03,,21.161,,,2004,9,3
2004-09-11,,,,,2004,9,11
2004-09-19,,17.024,,,2004,9,19
2004-10-05,,18.619000000000028,,,2004,10,5
2004-11-14,,,,,2004,11,14
2004-11-30,-1.8409999999999513,,,,2004,11,30
2004-12-08,,,,,2004,12,8
2004-12-09,,,,,2004,12,9
2004-12-16,-3.6370000000000005,,,,2004,12,16
2004-12-25,,,,,2004,12,25
2005-01-17,-3.484999999999957,,,,2005,1,17
2005-02-27,,,,,2005,2,27
2005-03-06,,,,,2005,3,6
2005-03-30,,-5.118999999999971,,,2005,3,30
2005-03-31,-2.5809999999999604,,,,2005,3,31
2005-04-15,,3.8040000000000305,,,2005,4,15
2005-04-16,,,,,2005,4,16
2005-05-01,,,,,2005,5,1
2005-05-09,,,,,2005,5,9
2005-05-10,,7.271000000000015,,,2005,5,10
2005-05-25,,,,,2005,5,25
2005-05-26,,23.399,,,2005,5,26
2005-06-02,,21.823000000000036,,,2005,6,2
2005-06-03,27.059000000000026,,,,2005,6,3
2005-06-10,,,,,2005,6,10
2005-06-19,19.54000000000002,,,,2005,6,19
2005-06-26,21.01400000000001,,,,2005,6,26
2005-07-04,,23.634000000000015,,,2005,7,4
2005-07-12,16.019000000000005,,,,2005,7,12
2005-07-20,,,,,2005,7,20
2005-07-21,,,,,2005,7,21
2005-07-28,31.766999999999996,,,,2005,7,28
2005-07-29,,,,,2005,7,29
2005-08-05,,,,,2005,8,5
2005-08-06,,,,,2005,8,6
2005-08-13,,,,,2005,8,13
2005-08-29,21.858000000000004,,,,2005,8,29
2005-09-07,22.136000000000024,,,,2005,9,7
2005-09-14,14.646000000000015,,,,2005,9,14
2005-09-22,,13.153999999999996,,,2005,9,22
2005-09-23,16.927999999999997,,,,2005,9,23
2005-10-01,,,,,2005,10,1
2005-10-08,,,,,2005,10,8
2005-10-09,13.415999999999997,,,,2005,10,9
2005-10-16,9.455000000000041,,,,2005,10,16
2005-10-25,,,,,2005,10,25
2005-11-01,,,,,2005,11,1
2005-11-09,,9.16900000000004,,,2005,11,9
2006-01-28,,-5.671999999999969,,,2006,1,28
2006-02-05,,,,,2006,2,5
2006-02-06,,,,,2006,2,6
2006-02-13,,,,,2006,2,13
2006-02-21,,,,,2006,2,21
2006-05-04,,5.4500000000000455,,,2006,5,4
2006-05-12,10.798000000000002,,,,2006,5,12
2006-05-28,,,,,2006,5,28
2006-06-05,,,,,2006,6,5
2006-06-13,22.489000000000033,,,,2006,6,13
2006-06-14,,,,,2006,6,14
2006-06-21,,27.24000000000001,,,2006,6,21
2006-06-29,,,,,2006,6,29
2006-07-15,20.670000000000016,,,,2006,7,15
2006-07-16,,,,,2006,7,16
2006-07-31,22.281000000000006,,,,2006,7,31
2006-08-16,,,,,2006,8,16
2006-08-25,,,,,2006,8,25
2006-09-01,,,,,2006,9,1
2006-09-10,19.971000000000004,,,,2006,9,10
2006-09-17,19.527000000000044,,,,2006,9,17
2006-09-25,,,,,2006,9,25
2006-09-26,,,,,2006,9,26
2006-10-03,,,,,2006,10,3
2006-10-12,11.256000000000029,,,,2006,10,12
2006-10-19,15.699000000000012,,,,2006,10,19
2006-10-27,,,,,2006,10,27
2006-10-28,,,,,2006,10,28
2006-11-29,,,,,2006,11,29
2006-12-06,,,,,2006,12,6
2006-12-07,,,,,2006,12,7
2006-12-14,,0.7230000000000132,,,2006,12,14
2006-12-23,,,,,2006,12,23
2006-12-31,,,,,2006,12,31
2007-01-07,,,,,2007,1,7
2007-01-15,,-1.3460000000000036,,,2007,1,15
2007-01-16,,,,,2007,1,16
2007-02-01,,,,,2007,2,1
2007-02-08,,,,,2007,2,8
2007-02-09,,,,,2007,2,9
2007-02-17,0.38800000000003365,,,,2007,2,17
2007-02-24,,,,,2007,2,24
2007-03-05,-0.5729999999999791,,,,2007,3,5
2007-03-12,3.6200000000000045,,,,2007,3,12
2007-03-13,,,,,2007,3,13
2007-03-29,,,,,2007,3,29
2007-04-05,,0.4900000000000091,,,2007,4,5
2007-04-14,,18.386000000000024,,,2007,4,14
2007-04-21,,14.012,,,2007,4,21
2007-04-29,18.734000000000037,,,,2007,4,29
2007-04-30,,13.614000000000033,,,2007,4,30
2007-05-08,,,,,2007,5,8
2007-05-23,,,,,2007,5,23
2007-05-24,24.326000000000022,,,,2007,5,24
2007-05-31,,,,,2007,5,31
2007-06-08,,24.535000000000025,,,2007,6,8
2007-06-09,,,,,2007,6,9
2007-06-16,,,,,2007,6,16
2007-06-24,,13.260000000000048,,,2007,6,24
2007-06-25,26.68300000000005,,,,2007,6,25
2007-07-11,,,,,2007,7,11
2007-07-18,,,,,2007,7,18
2007-07-19,,26.826000000000022,,,2007,7,19
2007-07-26,,21.611000000000047,,,2007,7,26
2007-07-27,21.075000000000045,,,,2007,7,27
2007-08-03,,,,,2007,8,3
2007-08-19,18.512,,,,2007,8,19
2007-08-28,,,,,2007,8,28
2007-09-04,,,,,2007,9,4
2007-09-13,,,,,2007,9,13
2007-09-20,9.574000000000012,,,,2007,9,20
2007-09-29,,,,,2007,9,29
2007-10-14,,8.353000000000009,,,2007,10,14
2007-12-17,,,,,2007,12,17
2007-12-26,,-3.978999999999985,,,2007,12,26
2008-01-11,,1.6590000000000487,,,2008,1,11
2008-02-03,,-7.1889999999999645,,,2008,2,3
2008-02-12,,-0.36099999999999,,,2008,2,12
2008-02-19,,,,,2008,2,19
2008-02-28,,,,,2008,2,28
2008-03-06,,-5.803999999999974,,,2008,3,6
2008-03-07,-8.842999999999961,,,,2008,3,7
2008-03-15,,-0.35599999999999454,,,2008,3,15
2008-03-31,,,,,2008,3,31
2008-05-02,,,,,2008,5,2
2008-05-09,,17.944000000000017,,,2008,5,9
2008-05-25,,,,,2008,5,25
2008-05-26,,,,,2008,5,26
2008-06-02,14.059000000000026,,,,2008,6,2
2008-06-10,,,,,2008,6,10
2008-06-18,,,,,2008,6,18
2008-06-26,,,,,2008,6,26
2008-07-04,,,,,2008,7,4
2008-07-20,17.709000000000003,,,,2008,7,20
2008-07-28,,24.387,,,2008,7,28
2008-07-29,26.604000000000042,,,,2008,7,29
2008-08-06,,20.15100000000001,,,2008,8,6
2008-08-13,,,,,2008,8,13
2008-08-21,16.951000000000022,,,,2008,8,21
2008-10-01,,,,,2008,10,1
2008-11-01,,8.418000000000006,,,2008,11,1
2008-12-03,,-6.09499999999997,,,2008,12,3
2008-12-28,,-12.979999999999961,,,2008,12,28
2009-01-13,,,,,2009,1,13
2009-02-05,,0.7650000000000432,,,2009,2,5
2009-03-18,,-1.690999999999974,,,2009,3,18
2009-03-25,,,,,2009,3,25
2009-04-03,,4.159000000000049,,,2009,4,3
2009-04-10,,7.104000000000042,,,2009,4,10
2009-04-19,,5.504000000000019,,,2009,4,19
2009-04-26,,,,,2009,4,26
2009-04-27,,,,,2009,4,27
2009-05-04,,,,,2009,5,4
2009-05-13,,,,,2009,5,13
2009-05-20,21.874000000000024,,,,2009,5,20
2009-06-05,14.723000000000013,,,,2009,6,5
2009-06-13,,16.890000000000043,,,2009,6,13
